volcano,lon,lat,month,date,year,elevation,VEI
Hekla,63.98,-19.7,July,25,1510,1491,4
Cotopaxi,-0.65,-78.43,June,--,1534,5897,4
St.Helens,46.2,-122.18,--,--,1540,2549,5
Agua_de_Pau,37.77,-25.47,June,28,1563,948,4
San_Salvador,13.74,-89.29,-,-,15757,1850,4
Kelut,-7.93,112.31,--,--,1586,1731,4
Galeras,1.22,-77.3,Dec.,7,1590,4482,4
Raung,-8.12,114.04,--,--,1593,3332,4
Ruiz,4.88,-75.37,March,12,1595,5389,4
Hekla,63.98,-19.7,June,3,1597,1491,4
Huaynaputina,16.58,-70.87,Feb.,19,1600,4800,4
Furnas,37.77,-25.32,Sept.,3,1630,805,4
Vesuvio,40.82,14.43,Dec.,16,1631,1281,4
Llaima,-38.7,71.7,Feb.,-,1640,3124,4
Komaga-take,42.07,140.68,July,31,1640,1140,4
Awu,3.67,125.5,Jan.,4,1641,1320,5
Guagua_Pichincha,-0.17,-78.6,Oct.,27,1660,4794,4
Quilotoa,-0.85,-78.9,Nov.,28,1660,3914,4
Usu,42.53,140.83,Aug.,16,1663,725,5
Tarumai,42.68,141.38,Aug.,6,1667,1024,5
San_Salvador,13.74,-89.29,--,--,1671,1850,4
Gamkonora,1.38,127.52,May,20,1673,1635,4
Tongkoko,1.52,125.2,--,--,1680,1149,4
Iwate,39.85,141,Feb.,29,1686,2041,4
Chikurachki,50.33,155.47,--,--,1690,1817,4
Hekla,63.98,-19.7,Feb.,13,1693,1491,4
Long,-5.36,147.12,--,--,1700,1304,6
Fuji,35.35,138.73,Dec.,16,1707,3776,4
Chirpoi,46.52,150.88,-,-,17127,624,4
Katla,63.63,-19.03,May,11,1721,1363,4
OraefajSkull,64,-16.65,Aug.,3,1727,2119,4
Tarumai,42.68,141.38,Aug.,-,1739,1024,5
Oshima-o-shima,41.5,139.37,Aug.,23,1741,714,4
Cotopaxi,-0.65,-78.43,Nov.,11,1744,5897,4
Katla,63.63,-19.03,Oct.,17,1755,1363,5
Jorullo,19.03,-101.67,Sept.,9,1759,1330,4
Peteroa,-35.25,-70.57,Dec.,3,1762,4090,4
Jorullo,19.03,-101.67,-,-,1764,1330,4
Komagatake,42.07,140.68,-,-,1765,1140,4
Hekla,63.98,-19.7,April,5,1766,1491,4
Cotopaxi,-0.65,-78.43,April,4,1768,5897,4
Papandayan,-7.32,107.73,Aug.,11,1772,2665,4
Raikoke,48.25,153.25,--,--,1778,551,4
Asama,36.4,138.53,May,9,1783,2550,4
Lakagigar,64.07,-18.25,June,6,1783,500,4
Asama,36.4,138.53,July,26,1783,2550,4
Alaid,50.8,155.5,-,-,1793,2339,4
San_Martin,18.58,-95.17,March,2,1793,1550,4
Pogromni,54.57,-164.7,--,--,1795,2286,4
St.Helens,46.2,-122.18,--,--,1802,2549,4
Soufriere,13.33,-16.18,April,27,1812,1178,4
Mayon,13.25,123.68,Feb.,1,1814,2462,4
Tambora,-8.25,118,April,5,1815,2851,7
Beerenberg,71.08,-8.17,--,--,1818,2277,4
Colima,19.42,-103.72,Feb.,15,1818,3960,4
Usu,42.53,140.83,March,9,1822,725,4
Galunggung,-7.25,108.05,Oct.,8,1822,2168,5
Isanotski,54.75,-163.73,-,-,1825,2480,4
Cosiguina,12.98,-87.57,June,20,1835,859,5
Hekla,63.98,-19.7,Sept.,-,1845,1491,4
Purace,2.37,-76.38,Dec.-,--,1849,4590,4
Chikurachki,50.33,155.47,Dec.,-,1853,1817,4
Sheveluch,56.78,161.58,Feb.,17,1854,3395,5
Komagatake,42.07,140.68,Sept.,25,1856,1140,4
Purace,2.37,-76.38,Oct.,10,1869,4590,4
Sinarka,48.87,154.17,-,-,1872,934,4
GrimsvOtn,64.42,-17.33,Jan.,8,1873,1719,4
Askja,65.03,-16.75,March,29,1875,1510,5
Suwanose-Zima,29.53,129.72,--,--,1877,799,4
Cotopaxi,-0.65,-78.43,June,25,1877,5897,4
Nasu,37.12,139.97,July,1,1881,1917,4
Krakatau,-6.1,105.42,Aug.,26,1883,300,6
Augustine,59.37,-153.42,Oct,6,1883,1227,4
Tungurahua,-1.47,-78.45,June,11,1886,5016,4
Tarawera,-38.23,176.51,June,10,1886,1111,5
Bandai,37.6,140.08,July,15,1888,1819,4
Suwanose-Zima,29.53,129.72,Oct.,2,1889,799,4
Dona_Juana,1.52,-76.93,Nov.,13,1899,4250,4
Mt.Pelee,14.82,-61.17,May,2,1902,1397,4
Soufriere,13.33,-61.18,May,6,1902,1178,4
Mt.Pelee,14.82,-61.17,May,8,1902,1397,4
Santa_Maria,14.75,-91.55,Oct.,24,1902,2700,6
Thordarhyrna,64.27,-17.6,May,28,1903,1660,4
Ksudach,51.83,157.52,March,28,1907,1079,5
Tarumai,42.68,141.38,April,12,1909,1024,4
Taal,14,121,June,27,1911,300,4
Novarupta,58.28,-155.17,June,6,1911,2285,6
Colima,19.42,-103.72,June,20,1913,4100,4
Sakurazima,31.58,130.67,June,12,1914,1118,4
Agrigan,18.77,145.67,April,9,1917,965,4
Tungurahua,-1.47,-78.45,April,4,1905,5016,4
Katla,63.63,-19.03,Oct.,12,191.8,1363,4
Manam,-4.1,145.06,Aug.,11,1919,1300,4
Puyehue,-40.58,-72.1,Dec.,13,1921,2240,4
Raikoke,48.25,153.25,Feb.,15,1924,551,4
Komaga-Take,42.07,140.68,June,17,1929,1140,4
Kliuchevskoi,56.18,160.78,March,25,1931,4850,4
Fuego,14.48,-90.88,Jan.,21,1932,3763,4
Cerro_Azul,-35.67,-70.77,April,10,1932,3810,5
Rabaul,-4.27,152.2,May,29,1937,229,4
Kliuchevskoi,56.18,160.78,Jan.,1,1945,4850,4
Sarychev,48.1,153.2,Nov.,9,1946,1497,4
Hekla,63.98,19.7,March,29,1947,1491,4
Lamington,-8.94,148.17,Jan.,15,1951,1780,4
Ambryn,-16.25,168.08,Sept.,-,1951,1334,4
Bagana,-6.14,155.19,Feb.,29,1952,1702,4
Mt.Spurr,61.3,-152.25,July,9,1953,3375,4
Nilahue,-40.35,-72.07,July,26,1955,400,4
Bezymianny,56.07,160.72,March,30,1956,2800,5
Agung,-8.34,115.5,March,17,1963,3142,4
Sheveluch,56.78,161.58,Nov.,12,1969,3395,4
Taal,14,121,Sept.,28,1965,300,4
Kelut,-7.93,112.31,April,26,1966,1731,4
Oldoinyo_Lengai,-2.75,35.9,Aug.,-,1966,2880,4
Awu,3.67,125.5,Aug.,12,1966,1320,4
Fernandina,-0.37,91.55,June,11,1968,1495,4
Tiatia,44.35,146.25,July,14,1973,1822,4
Fuego,14.48,-90.88,Oct.,10,1974,3763,4
Plosky_Tolbachik,55.93,160.47,July,6,1975,3085,4
Augustine,59.37,-153.42,Jan.,22,1976,1227,4
Bezymianny,56.07,-160.72,Feb.,11,1979,2800,4
St.Helens,46.2,-122.18,May,18,1980,1920,5